date,lqd_lqd
2025-10-27,112.5019302368164
2025-10-28,112.51189422607422
2025-10-29,111.87420654296875
2025-10-30,111.27637481689453
2025-10-31,110.8280029296875
2025-11-03,110.52999877929688
2025-11-04,110.68000030517578
2025-11-05,110.3499984741211
2025-11-06,110.93000030517578
2025-11-07,110.70999908447266
2025-11-10,110.7699966430664
2025-11-11,111.20999908447266
2025-11-12,111.0999984741211
2025-11-13,110.55000305175781
2025-11-14,110.25
2025-11-17,110.31999969482422
2025-11-18,110.37000274658203
2025-11-19,110.37999725341797
2025-11-20,110.52999877929688
2025-11-21,110.91999816894531
2025-11-24,111.36000061035156
2025-11-25,111.66999816894531
2025-11-26,112.05000305175781
