date,tip_tip
2025-10-27,111.57718658447266
2025-10-28,111.6668930053711
2025-10-29,111.07880401611328
2025-10-30,110.8395767211914
2025-10-31,111.01899719238281
2025-11-03,110.94000244140625
2025-11-04,110.98999786376953
2025-11-05,110.58000183105469
2025-11-06,110.87999725341797
2025-11-07,110.9000015258789
2025-11-10,110.91999816894531
2025-11-11,111.37000274658203
2025-11-12,111.12999725341797
2025-11-13,110.87999725341797
2025-11-14,110.75
2025-11-17,110.7699966430664
2025-11-18,110.8499984741211
2025-11-19,110.70999908447266
2025-11-20,110.76000213623047
2025-11-21,111.0199966430664
2025-11-24,111.06999969482422
2025-11-25,111.2699966430664
2025-11-26,111.51000213623047
