date,iwm_iwm
2025-10-27,250.3000030517578
2025-10-28,248.9600067138672
2025-10-29,246.83999633789062
2025-10-30,244.85000610351562
2025-10-31,246.22999572753906
2025-11-03,245.44000244140625
2025-11-04,241.1999969482422
2025-11-05,244.67999267578125
2025-11-06,240.35000610351562
2025-11-07,241.61000061035156
2025-11-10,244.02999877929688
2025-11-11,244.24000549316406
2025-11-12,243.63999938964844
2025-11-13,236.7899932861328
2025-11-14,237.47999572753906
2025-11-17,232.75999450683594
2025-11-18,233.47000122070312
2025-11-19,233.42999267578125
2025-11-20,229.11000061035156
2025-11-21,235.60000610351562
2025-11-24,239.89999389648438
2025-11-25,245.1300048828125
2025-11-26,247.3000030517578
